session_id,timestamp,record_type,station,target_point,temperature_c,humidity_pct,pressure_hpa,battery_voltage_v,battery_percent,temperature_raw_c,humidity_raw_pct,pressure_raw_hpa,calibration_enabled,temperature_scale,temperature_offset_c,humidity_scale,humidity_offset_pct,pressure_scale,pressure_offset_hpa
20260803_131405,2026-08-03T13:14:05,SESSION_START,VALIDACIA,,37.30,30.76,995.82,3.92,70,37.374,38.738,997.566,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:14:05,AUTO,VALIDACIA,,37.30,30.73,995.82,3.92,70,37.372,38.707,997.566,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:15:05,AUTO,VALIDACIA,,37.04,28.47,995.82,3.92,69,37.153,36.447,997.568,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:16:05,AUTO,VALIDACIA,,36.96,28.64,995.80,3.92,69,37.089,36.613,997.545,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:17:05,AUTO,VALIDACIA,,36.95,28.80,995.77,3.91,69,37.083,36.773,997.516,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:18:05,AUTO,VALIDACIA,,36.88,28.64,995.75,3.91,68,37.024,36.618,997.499,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:19:05,AUTO,VALIDACIA,,36.82,28.74,995.73,3.91,67,36.971,36.721,997.474,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:20:05,AUTO,VALIDACIA,,36.48,28.75,995.72,3.94,72,36.688,36.723,997.468,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:21:05,AUTO,VALIDACIA,,36.01,28.85,995.75,3.94,72,36.287,36.824,997.495,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:22:05,AUTO,VALIDACIA,,35.36,29.39,995.76,3.94,72,35.743,37.370,997.503,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:23:05,AUTO,VALIDACIA,,34.87,29.64,995.77,3.94,72,35.332,37.614,997.513,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:24:05,AUTO,VALIDACIA,,34.45,29.81,995.77,3.94,72,34.974,37.788,997.513,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:25:05,AUTO,VALIDACIA,,34.29,29.83,995.74,3.94,72,34.846,37.811,997.485,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
20260803_131405,2026-08-03T13:26:05,AUTO,VALIDACIA,,33.70,30.15,995.71,3.94,72,34.343,38.123,997.461,1,1.189254,-7.147,1.000000,-7.977,1.000000,-1.747
