;"P, hPa";"T, °C";"RH, %"
3.8.2026 8:03:03 ;996.65;35.93;29.54
3.8.2026 8:04:03 ;996.68;35.96;29.65
3.8.2026 8:05:03 ;996.66;36.00;29.68
3.8.2026 8:06:03 ;996.71;36.05;29.63
3.8.2026 8:07:03 ;996.69;36.09;29.60
3.8.2026 8:08:03 ;996.72;36.15;29.39
3.8.2026 8:09:03 ;996.74;36.19;29.29
3.8.2026 8:10:03 ;996.74;36.33;29.07
3.8.2026 8:11:03 ;996.75;36.48;28.80
3.8.2026 8:12:03 ;996.76;36.61;28.59
3.8.2026 8:13:03 ;996.78;36.68;28.42
3.8.2026 8:14:03 ;996.76;36.77;28.29
3.8.2026 8:15:03 ;996.76;36.85;28.14
3.8.2026 8:16:03 ;996.76;36.92;28.05
3.8.2026 8:17:03 ;996.75;36.97;27.94
3.8.2026 8:18:03 ;996.76;37.00;27.86
3.8.2026 8:19:03 ;996.77;37.04;27.78
3.8.2026 8:20:03 ;996.77;37.06;27.74
3.8.2026 8:21:03 ;996.77;37.10;27.66
3.8.2026 8:22:03 ;996.75;37.13;27.60
3.8.2026 8:23:03 ;996.75;37.17;27.57
3.8.2026 8:24:03 ;996.76;37.19;27.51
3.8.2026 8:25:03 ;996.76;37.23;27.44
3.8.2026 8:26:03 ;996.76;37.24;27.41
3.8.2026 8:27:03 ;996.72;37.27;27.37
3.8.2026 8:28:03 ;996.72;37.32;27.31
3.8.2026 8:29:03 ;996.72;37.33;27.27
3.8.2026 8:30:03 ;996.73;37.34;27.25
3.8.2026 8:31:03 ;996.73;37.36;27.22
3.8.2026 8:32:03 ;996.73;37.40;27.15
3.8.2026 8:33:03 ;996.75;37.40;27.13
3.8.2026 8:34:03 ;996.74;37.43;27.11
3.8.2026 8:35:03 ;996.75;37.44;27.06
3.8.2026 8:36:03 ;996.76;37.49;27.02
3.8.2026 8:37:03 ;996.75;37.53;26.97
3.8.2026 8:38:03 ;996.75;37.53;26.92
3.8.2026 8:39:03 ;996.77;37.50;26.95
3.8.2026 8:40:03 ;996.76;37.52;26.93
3.8.2026 8:41:03 ;996.75;37.55;26.90
3.8.2026 8:42:03 ;996.76;37.59;26.86
3.8.2026 8:43:03 ;996.74;37.60;26.82
3.8.2026 8:44:03 ;996.74;37.61;26.80
3.8.2026 8:45:03 ;996.74;37.61;26.79
3.8.2026 8:46:03 ;996.73;37.65;26.74
3.8.2026 8:47:03 ;996.72;37.68;26.71
3.8.2026 8:48:03 ;996.72;37.69;26.69
3.8.2026 8:49:03 ;996.71;37.72;26.66
3.8.2026 8:50:03 ;996.70;37.74;26.63
3.8.2026 8:51:03 ;996.69;37.71;26.66
3.8.2026 8:52:03 ;996.69;37.60;27.03
3.8.2026 8:53:03 ;996.68;37.39;26.93
3.8.2026 8:54:03 ;996.68;36.93;27.04
3.8.2026 8:55:03 ;996.68;36.24;27.07
3.8.2026 8:56:03 ;996.68;35.38;27.92
3.8.2026 8:57:03 ;996.67;34.68;28.70
3.8.2026 8:58:03 ;996.67;34.19;29.10
3.8.2026 8:59:03 ;996.66;33.71;29.48
3.8.2026 9:00:03 ;996.66;33.35;30.06
3.8.2026 9:01:03 ;996.67;33.21;30.14
3.8.2026 9:02:03 ;996.69;32.91;30.40
3.8.2026 9:03:03 ;996.67;32.78;30.74
3.8.2026 9:04:03 ;996.66;32.74;30.66
3.8.2026 9:05:03 ;996.67;32.57;30.70
3.8.2026 9:06:03 ;996.67;32.33;30.90
3.8.2026 9:07:03 ;996.66;32.29;30.88
3.8.2026 9:08:03 ;996.65;32.17;30.91
3.8.2026 9:09:03 ;996.66;32.02;31.00
3.8.2026 9:10:03 ;996.66;31.97;31.02
